證券代碼,年月,週轉率％_月,法人持股%,報酬率％_月
1101 台泥,2012/3/30,7.1042,74.76,-8.4768
1102 亞泥,2012/3/30,3.4507,79.6,-4.5154
1103 嘉泥,2012/3/30,2.3141,52.95,-2.8573
1104 環泥,2012/3/30,2.009,44.79,-4.0132
1108 幸福,2012/3/30,1.9457,46.03,0.3366
1109 信大,2012/3/30,0.5672,10.5,-1.3825
1110 東泥,2012/3/30,1.4514,72.12,1.3214
1201 味全,2012/3/30,10.34,54.27,-6.5433
1203 味王,2012/3/30,2.5758,65.88,2.1378
1210 大成,2012/3/30,13.5592,58.79,-7.0769
1215 卜蜂,2012/3/30,8.952,43.61,-10.6509
1216 統一,2012/3/30,3.4102,63.23,-9.323
1217 愛之味,2012/3/30,11.1698,27.47,-8.6363
1218 泰山,2012/3/30,25.2029,22.42,-4.8048
1219 福壽,2012/3/30,1.8155,21.91,-1.5337
1220 台榮,2012/3/30,3.3392,24.98,-3.2257
1225 福懋油,2012/3/30,5.9838,36.69,-3.0188
1227 佳格,2012/3/30,12.5873,30.96,-3.8276
1229 聯華,2012/3/30,7.2564,51.45,-2.5317
1231 聯華食,2012/3/30,23.1366,32.74,-4.9809
1232 大統益,2012/3/30,1.324,81.49,0.7986
1233 天仁,2012/3/30,4.2918,38.71,2.7196
1234 黑松,2012/3/30,8.8099,33.83,25.8881
1235 興泰,2012/3/30,8.836,53.46,-10.8621
1236 宏亞,2012/3/30,1.5504,26.29,-2.7239
1301 台塑,2012/3/30,2.6885,74.39,-5.5435
1303 南亞,2012/3/30,1.7611,72.28,-7.6178
1304 台聚,2012/3/30,13.0225,55.1,-2.0199
1305 華夏,2012/3/30,27.6401,55.33,-1.6878
1307 三芳,2012/3/30,0.8597,50.36,-0.7752
1308 亞聚,2012/3/30,10.1897,54.56,0.9213
1309 台達化,2012/3/30,8.0196,52.52,-11.7022
1310 台苯,2012/3/30,6.5117,21.48,-10.329
1312 國喬,2012/3/30,19.3146,50.76,-8.6666
1313 聯成,2012/3/30,4.6383,64.4,-7.6713
1314 中石化,2012/3/30,26.5249,52.29,-11.6554
1315 達新,2012/3/30,3.9391,42.13,5.0986
1316 上曜,2012/3/30,20.3596,13.64,-21.4859
1319 東陽,2012/3/30,5.3156,51.59,-12.6565
1321 大洋,2012/3/30,5.4091,16.26,-3.1111
1323 永裕,2012/3/30,6.1494,18.11,6.9949
1324 地球,2012/3/30,3.316,9.5,-1.4652
1325 恒大,2012/3/30,7.3985,29.61,-6.8064
1326 台化,2012/3/30,2.6596,77.63,-6.3043
1337 再生-KY,2012/3/30,7.1792,89.85,0.117
1338 廣華-KY,2012/3/30,0.9413,41.45,-4.878
1339 昭輝,2012/3/30,2.2202,47.68,-1.5827
1402 遠東新,2012/3/30,4.4536,85.04,-9.5364
1409 新纖,2012/3/30,21.8605,48.59,-0.4926
1410 南染,2012/3/30,7.4744,22.65,-0.8772
1413 宏洲,2012/3/30,2.0031,17.27,-18.928
1414 東和,2012/3/30,68.4868,23.07,2.3622
1416 廣豐,2012/3/30,15.8621,25.16,7.8432
1417 嘉裕,2012/3/30,24.8737,27.74,-12.3215
1418 東華,2012/3/30,2.8963,27.68,-2.5
1419 新紡,2012/3/30,15.4932,76.42,-2.6253
1423 利華,2012/3/30,2.5977,35.32,-5.6511
1432 大魯閣,2012/3/30,1.6903,65.43,-8.6568
1434 福懋,2012/3/30,1.3524,74.48,-2.8861
1435 中福,2012/3/30,3.5241,20.54,-13.3334
1436 華友聯,2012/3/30,3.9166,55.99,15.909
1437 勤益控,2012/3/30,4.5381,22.18,-6.9401
1438 三地開發,2012/3/30,0.6464,21.06,22.1651
1439 中和,2012/3/30,5.925,51.32,-11.5911
1440 南紡,2012/3/30,11.8564,27.4,-3.9854
1441 大東,2012/3/30,33.2646,27.27,-7.95
1442 名軒,2012/3/30,13.1303,30.18,8.4113
1443 立益,2012/3/30,2.6606,13.58,-11.5323
1444 力麗,2012/3/30,15.9355,45.87,-2.7237
1445 大宇,2012/3/30,4.6781,21.37,1.5384
1446 宏和,2012/3/30,2.2082,42.93,-7.3335
1447 力鵬,2012/3/30,16.0077,58,-12.7119
1449 佳和,2012/3/30,0.3168,26.58,-32.8
1451 年興,2012/3/30,3.231,47.15,-5.4055
1452 宏益,2012/3/30,6.4859,15.44,-9.5282
1453 大將,2012/3/30,1.2519,31.47,-1.9543
1454 台富,2012/3/30,4.1943,22.31,-0.6257
1455 集盛,2012/3/30,16.8621,12.73,-23.5495
1456 怡華,2012/3/30,0.0651,12.22,-18.5392
1457 宜進,2012/3/30,12.5635,30.56,-7.7584
1459 聯發,2012/3/30,3.8625,57.63,-11.3925
1460 宏遠,2012/3/30,8.924,59.77,2.8206
1463 強盛,2012/3/30,7.6158,25.58,0.1001
1464 得力,2012/3/30,1.797,44.33,-0.2152
1465 偉全,2012/3/30,3.8349,12.01,0
1466 聚隆,2012/3/30,22.4531,18.21,-21.1934
1467 南緯,2012/3/30,2.243,6.76,-1.5991
1468 昶和,2012/3/30,0.9383,53.39,-16.1048
1470 大統新創,2012/3/30,0.4944,25.01,-12.1952
1471 首利,2012/3/30,18.1131,20.06,-10.1399
1472 三洋實業,2012/3/30,11.2,10.63,-16.9812
1473 台南,2012/3/30,3.9013,61.31,-5.8898
1474 弘裕,2012/3/30,2.7779,29.52,-9.4798
1475 業旺,2012/3/30,0.4665,95.63,-7.8624
1476 儒鴻,2012/3/30,14.5687,36.64,14.7458
1477 聚陽,2012/3/30,10.9433,42.45,12.8368
1503 士電,2012/3/30,1.1813,68,-1.9637
1504 東元,2012/3/30,8.1139,52.07,-2.1635
1506 正道,2012/3/30,24.9191,53.1,3.3212
1507 永大,2012/3/30,5.1933,68.82,1.7225
1512 瑞利,2012/3/30,8.0214,27.87,4.4959
1513 中興電,2012/3/30,11.6621,46.52,0.8927
1514 亞力,2012/3/30,4.8387,11.48,-5.5867
1515 力山,2012/3/30,2.4674,15.82,-6.6669
1516 川飛,2012/3/30,1.0558,12.12,0
1517 利奇,2012/3/30,38.7499,8.9,15.6718
1519 華城,2012/3/30,4.9299,11.69,-16.713
1521 大億,2012/3/30,8.0716,80.6,-7.5928
1522 堤維西,2012/3/30,3.9982,51.96,-1.3986
1524 耿鼎,2012/3/30,2.2264,12.63,-6.5768
1525 江申,2012/3/30,5.6611,79.09,-7.7708
1526 日馳,2012/3/30,16.72,35.36,-1.9144
1527 鑽全,2012/3/30,11.6484,24.26,8.8437
1528 恩德,2012/3/30,8.1906,14.44,-5.1447
1529 樂士,2012/3/30,0.5454,31.47,0.0001
1530 亞崴,2012/3/30,9.1267,52.34,-5.3372
1531 高林股,2012/3/30,20.0377,33.35,-1.4613
1532 勤美,2012/3/30,5.359,26.66,-8.9687
1533 車王電,2012/3/30,3.1779,16.84,-9.5239
1535 中宇,2012/3/30,3.0616,82.91,1.2964
1536 和大,2012/3/30,21.981,21.13,4.0879
1537 廣隆,2012/3/30,35.3729,25.17,12.2694
1538 正峰,2012/3/30,22.6331,2.47,-25.9912
1539 巨庭,2012/3/30,0.8521,43.69,-6.7934
1540 喬福,2012/3/30,4.5242,9.78,2.6316
1541 錩泰,2012/3/30,6.3591,19.94,15.6522
1558 伸興,2012/3/30,21.158,10.47,6.4816
1560 中砂,2012/3/30,46.3206,25.11,2.5355
1568 倉佑,2012/3/30,0.2717,58.93,-2.439
1582 信錦,2012/3/30,13.92,14.51,0.7334
1583 程泰,2012/3/30,4.1478,25.86,-6.6307
1590 亞德客-KY,2012/3/30,8.7474,79.69,-9.1716
1597 直得,2012/3/30,3.3517,11.04,6.0607
1598 岱宇,2012/3/30,0.2532,43.14,11.3924
1604 聲寶,2012/3/30,9.0934,18.91,-8.4894
1605 華新,2012/3/30,6.1205,37.05,-18.2532
1608 華榮,2012/3/30,2.0737,30.65,-4.493
1609 大亞,2012/3/30,5.0877,16.17,-6.057
1611 中電,2012/3/30,5.8308,46.16,-4.0475
1612 宏泰,2012/3/30,3.814,26.79,-7.7983
1614 三洋電,2012/3/30,1.9346,64,-5.2308
1615 大山,2012/3/30,1.1702,40.87,-3.1007
1616 億泰,2012/3/30,1.1908,16.84,-9.3167
1617 榮星,2012/3/30,2.0229,64.62,5.5555
1618 合機,2012/3/30,10.6458,44.26,2.5975
1701 中化,2012/3/30,15.1187,23.8,-11.9147
1702 南僑,2012/3/30,33.5938,28.83,-10.6782
1707 葡萄王,2012/3/30,16.8373,14.06,0.9493
1708 東鹼,2012/3/30,19.6409,31.46,-5.2631
1709 和益,2012/3/30,6.2518,49.08,-0.4579
1710 東聯,2012/3/30,20.7108,72.7,-6.7236
1711 永光,2012/3/30,6.8918,12.28,-6.9446
1712 興農,2012/3/30,11.3946,13.13,4.6153
1713 國化,2012/3/30,2.9162,39.98,1.7544
1714 和桐,2012/3/30,11.049,42.82,-5.0938
1717 長興,2012/3/30,2.0131,36.71,-2.6516
1718 中纖,2012/3/30,9.583,46.27,-15.4439
1720 生達,2012/3/30,7.3911,12.31,-1.1811
1721 三晃,2012/3/30,4.2022,10.07,-11.8529
1722 台肥,2012/3/30,8.0729,81.91,-7.169
1723 中碳,2012/3/30,6.9712,65.08,-0.0001
1725 元禎,2012/3/30,0.326,92.15,-4.3228
1726 永記,2012/3/30,1.5802,36.22,1.3043
1727 中華化,2012/3/30,17.1651,6.19,-6.6668
1730 花仙子,2012/3/30,26.1027,21.95,0.5863
1731 美吾華,2012/3/30,7.9171,33.52,-6.9092
1732 毛寶,2012/3/30,13.0999,20.32,-1.3746
1733 五鼎,2012/3/30,31.7185,31.98,7.7656
1734 杏輝,2012/3/30,10.5776,11.02,-11.8165
1735 日勝化,2012/3/30,1.2398,25.49,-7.9167
1736 喬山,2012/3/30,5.2669,17.81,8.1657
1737 臺鹽,2012/3/30,10.4601,46.82,-8.758
1752 南光,2012/3/30,9.8143,34.88,0.3497
1760 寶齡富錦,2012/3/30,0.1797,43.71,2.0929
1762 中化生,2012/3/30,27.3595,48.38,-13.5972
1773 勝一,2012/3/30,2.4412,51.96,0.9174
1776 展宇,2012/3/30,0.1802,25.67,-0.5749
1783 和康生,2012/3/30,1.0239,58.06,-8.6293
1786 科妍,2012/3/30,0.7275,23.23,2.945
1789 神隆,2012/3/30,8.3542,79.82,-4.4013
1795 美時,2012/3/30,18.1153,14.14,-3.7162
1802 台玻,2012/3/30,3.193,80.55,-7.7671
1805 寶徠,2012/3/30,0.4456,15.1,7.8126
1806 冠軍,2012/3/30,14.1747,34.09,-3.5143
1808 潤隆,2012/3/30,51.8294,58.64,35.4939
1809 中釉,2012/3/30,21.3249,4.53,6.4423
1810 和成,2012/3/30,13.3669,17.02,13.9955
1817 凱撒衛,2012/3/30,0.3225,11.21,-0.4523
1903 士紙,2012/3/30,1.7578,45.56,-4.7334
1904 正隆,2012/3/30,2.3702,42.8,0.8367
1905 華紙,2012/3/30,8.9633,45.83,-9.8361
1906 寶隆,2012/3/30,2.0046,62.62,1.1673
1907 永豐餘,2012/3/30,4.7923,35.33,-4.2706
1909 榮成,2012/3/30,2.2779,55.15,-8.7133
2002 中鋼,2012/3/30,2.5075,55.69,-1.1475
2006 東和鋼鐵,2012/3/30,5.4939,64.06,-1.4806
2007 燁興,2012/3/30,1.606,75.17,-9.3355
2008 高興昌,2012/3/30,0.6238,26.57,-7.3078
2009 第一銅,2012/3/30,2.2362,32.37,-14.7061
2010 春源,2012/3/30,2.0828,16.41,1.1809
2012 春雨,2012/3/30,3.0548,24.52,-8.7561
2013 中鋼構,2012/3/30,6.794,70.15,3.0665
2014 中鴻,2012/3/30,4.794,49.14,-13.0254
2015 豐興,2012/3/30,3.3403,28.94,0.1929
2017 官田鋼,2012/3/30,45.0752,31.93,-9.0001
2020 美亞,2012/3/30,6.5949,57.95,-20.0669
2022 聚亨,2012/3/30,15.2451,17.78,-6.5502
2023 燁輝,2012/3/30,7.62,58.55,-6.4936
2024 志聯,2012/3/30,6.9932,20.93,-11.625
2027 大成鋼,2012/3/30,3.1299,25.37,-3.8011
2028 威致,2012/3/30,4.0721,23.97,-17.8124
2029 盛餘,2012/3/30,1.1209,70.53,-0.2434
2030 彰源,2012/3/30,2.4175,19.79,-6.9232
2031 新光鋼,2012/3/30,5.087,26.73,-12.0967
2032 新鋼,2012/3/30,2.087,14.56,-15.9091
2033 佳大,2012/3/30,4.2581,26.79,-7.0589
2034 允強,2012/3/30,2.7132,29.73,-4.6511
2038 海光,2012/3/30,4.9204,60.62,-0.6847
2049 上銀,2012/3/30,42.9101,49.86,1.2159
2059 川湖,2012/3/30,37.8484,49.63,10.9376
2062 橋椿,2012/3/30,0.7994,47.41,0.9313
2101 南港,2012/3/30,8.2152,53.85,-5.8282
2102 泰豐,2012/3/30,4.3943,29.94,-8.5714
2103 台橡,2012/3/30,10.5507,71.53,0.5327
2104 國際中橡,2012/3/30,5.5438,51.57,-2.838
2105 正新,2012/3/30,5.5114,30.9,-2.2068
2106 建大,2012/3/30,9.0206,18.24,-1.4305
2107 厚生,2012/3/30,6.9676,26.69,-4.6085
2108 南帝,2012/3/30,6.4995,51.25,-0.5525
2109 華豐,2012/3/30,5.8823,18.5,-11.2695
2114 鑫永銓,2012/3/30,12.9671,33.44,1.4779
2201 裕隆,2012/3/30,11.1629,65.31,-9.0323
2204 中華,2012/3/30,10.5918,82.65,-11.6385
2206 三陽工業,2012/3/30,15.8429,45.05,0.2498
2207 和泰車,2012/3/30,7.4109,81.53,19.2984
2208 台船,2012/3/30,3.4268,54.37,-3.2129
2227 裕日車,2012/3/30,3.8103,95.11,-1.389
2231 為升,2012/3/30,4.111,27.52,7.5268
2233 宇隆,2012/3/30,54.0582,40.15,9.4612
2301 光寶科,2012/3/30,5.6917,73.26,-10.6382
2302 麗正,2012/3/30,3.2812,45.04,-13.6366
2303 聯電,2012/3/30,5.9772,64.09,-6.7743
2305 全友,2012/3/30,1.2657,38.71,-10.1268
2308 台達電,2012/3/30,9.4883,80.03,7.0544
2312 金寶,2012/3/30,2.8467,28.44,-13.9953
2313 華通,2012/3/30,49.9839,21.93,7.3768
2314 台揚,2012/3/30,19.268,5.14,-8.5715
2316 楠梓電,2012/3/30,14.6231,32.8,-3.3334
2317 鴻海,2012/3/30,8.2273,65.1,11.7073
2321 東訊,2012/3/30,1.0732,30.88,-9.0908
2323 中環,2012/3/30,16.5645,15.95,-7.3426
2324 仁寶,2012/3/30,5.5609,76.52,-4.5977
2327 國巨,2012/3/30,8.4728,58.54,-10.2229
2328 廣宇,2012/3/30,10.5217,45.43,-8.6818
2329 華泰,2012/3/30,2.0983,34.63,-12.0229
2330 台積電,2012/3/30,3.1838,89.34,4.6857
2331 精英,2012/3/30,8.3659,56.99,-1.3905
2332 友訊,2012/3/30,15.0318,41.43,-4.7721
2337 旺宏,2012/3/30,13.5583,29.15,-12.0001
2338 光罩,2012/3/30,2.7793,39.09,3.5555
2340 台亞,2012/3/30,19.0805,23.97,0.6965
2344 華邦電,2012/3/30,11.3931,39.7,-15.3725
2345 智邦,2012/3/30,21.3685,29.66,-4.0323
2347 聯強,2012/3/30,5.2849,87.18,-1.6109
2349 錸德,2012/3/30,13.8601,9.38,-13.7287
2351 順德,2012/3/30,25.5166,5.04,17.2484
2352 佳世達,2012/3/30,11.0982,32.88,-17.6196
2353 宏碁,2012/3/30,11.3773,47.87,-13.0003
2354 鴻準,2012/3/30,20.9041,78.33,-9.963
2355 敬鵬,2012/3/30,33.0998,31.92,9.3496
2356 英業達,2012/3/30,2.4779,41.58,-7.5
2357 華碩,2012/3/30,13.4198,65.54,0.9059
2358 廷鑫,2012/3/30,45.9908,19.7,-6.8686
2359 所羅門,2012/3/30,2.1972,7.3,-4.5662
2360 致茂,2012/3/30,4.496,70.18,11.5725
2362 藍天,2012/3/30,2.1862,49.81,-8.2388
2363 矽統,2012/3/30,7.4192,31.06,-13.0111
2364 倫飛,2012/3/30,7.4487,13.12,-12.1448
2365 昆盈,2012/3/30,9.3767,20.93,-9.8486
2367 燿華,2012/3/30,35.9288,26.49,-1.06
2368 金像電,2012/3/30,16.5036,11.83,-5.6975
2369 菱生,2012/3/30,40.6899,35.98,-3.3335
2371 大同,2012/3/30,7.5524,43.72,-13.4071
2373 震旦行,2012/3/30,1.6107,79.86,-0.9488
2374 佳能,2012/3/30,8.4078,41.6,-4.2208
2375 凱美,2012/3/30,10.6955,24.6,-5.7622
2376 技嘉,2012/3/30,10.5257,44.63,-1.3917
2377 微星,2012/3/30,20.6222,22.03,5.4745
2379 瑞昱,2012/3/30,14.9936,50.18,-13.6219
2380 虹光,2012/3/30,15.2309,21.03,-8.4943
2382 廣達,2012/3/30,5.6233,71.83,6.3276
2383 台光電,2012/3/30,34.6476,20.98,8.5316
2385 群光,2012/3/30,10.1795,51.5,-4.2904
2387 精元,2012/3/30,7.4522,48.65,-5.7277
2388 威盛,2012/3/30,6.1748,53.3,-17.9653
2390 云辰,2012/3/30,9.2298,33.72,1.6964
2392 正崴,2012/3/30,29.1458,49.87,0.1416
2393 億光,2012/3/30,26.873,49.99,-5.7748
2395 研華,2012/3/30,3.4825,84.9,3.5355
2397 友通,2012/3/30,1.9567,25.27,-3.5639
2399 映泰,2012/3/30,13.4413,28.61,3.4374
2401 凌陽,2012/3/30,11.4818,14.04,-16.2602
2402 毅嘉,2012/3/30,53.34,21.76,-18.7205
2404 漢唐,2012/3/30,18.3409,20.89,10.5177
2405 浩鑫,2012/3/30,10.0253,35.72,-9.9998
2406 國碩,2012/3/30,52.5388,15.95,-8.0525
2408 南亞科,2012/3/30,0.4454,93.67,-25.4197
2409 友達,2012/3/30,15.2867,58.74,-14.1508
2412 中華電,2012/3/30,4.397,79.9,0.5529
2413 環科,2012/3/30,3.0795,6.13,-4.5455
2414 精技,2012/3/30,5.4583,27.13,3.2052
2415 錩新,2012/3/30,15.8089,20.21,1.0525
2417 圓剛,2012/3/30,16.4768,20.67,-4.3027
2419 仲琦,2012/3/30,49.7127,14.98,14.0128
2420 新巨,2012/3/30,18.8735,2.6,-1.8108
2421 建準,2012/3/30,18.5074,31.67,-8.5954
2423 固緯,2012/3/30,7.2872,21.64,3.7382
2424 隴華,2012/3/30,5.0167,50.81,1.445
2425 承啟,2012/3/30,17.1067,69.11,18.9873
2426 鼎元,2012/3/30,17.2311,7.65,-10.072
2427 三商電,2012/3/30,20.1378,57.23,-13.0909
2428 興勤,2012/3/30,8.2829,44.5,-5.0153
2429 銘旺科,2012/3/30,0.0038,38.59,-7.3684
2430 燦坤,2012/3/30,9.1967,62.94,4.9106
2431 聯昌,2012/3/30,22.623,36.04,3.2002
2433 互盛電,2012/3/30,7.2203,84.13,12.6312
2434 統懋,2012/3/30,3.3009,7.45,-17.3776
2436 偉詮電,2012/3/30,25.2399,6.8,-3.3231
2438 翔耀,2012/3/30,0.5357,0.26,-28.1954
2439 美律,2012/3/30,41.645,44.97,6.1621
2440 太空梭,2012/3/30,1.0042,20.9,-7.918
2441 超豐,2012/3/30,2.132,60,4.1753
2442 新美齊,2012/3/30,5.9345,53.37,-0.5182
2443 昶虹,2012/3/30,7.1221,9.92,-6.0128
2444 兆勁,2012/3/30,12.4124,11.81,-5.3801
2449 京元電子,2012/3/30,8.6932,36.49,-12.8906
2450 神腦,2012/3/30,30.8022,78.23,10.4
2451 創見,2012/3/30,6.1723,84.66,-3.0719
2453 凌群,2012/3/30,11.658,13.78,-13.1577
2454 聯發科,2012/3/30,23.6426,61.6,-6.146
2455 全新,2012/3/30,73.2496,23.14,9.0362
2457 飛宏,2012/3/30,31.1009,16.44,0.2389
2458 義隆,2012/3/30,51.2948,24.01,-1.2987
2459 敦吉,2012/3/30,6.6814,22.68,-2.7732
2460 建通,2012/3/30,2.1993,53.09,-3.6423
2461 光群雷,2012/3/30,15.9104,22.76,0.4386
2462 良得電,2012/3/30,35.5661,8.57,15.6356
2464 盟立,2012/3/30,5.5091,34.55,-4.1666
2465 麗臺,2012/3/30,5.506,10.55,-0.7196
2466 冠西電,2012/3/30,1.5306,46.58,-1.7682
2467 志聖,2012/3/30,17.2983,25.4,4.8497
2468 華經,2012/3/30,11.5564,64.33,2.9537
2471 資通,2012/3/30,28.0067,6.68,-11.2469
2472 立隆電,2012/3/30,21.7147,4.21,-1.6807
2474 可成,2012/3/30,51.3064,79.16,-3.2482
2476 鉅祥,2012/3/30,6.5668,24.87,-3.8997
2477 美隆電,2012/3/30,1.2431,44.44,-5.3942
2478 大毅,2012/3/30,2.4653,38.7,-9.6775
2480 敦陽科,2012/3/30,33.2734,11.96,-2.9309
2481 強茂,2012/3/30,25.1157,21.71,-19.6809
2482 連宇,2012/3/30,8.0278,28.65,-12.9278
2483 百容,2012/3/30,2.6577,17.82,-1.1536
2484 希華,2012/3/30,38.4395,4.8,-3.3613
2485 兆赫,2012/3/30,27.9695,11.98,-8.4615
2486 一詮,2012/3/30,43.1831,15.17,11.839
2488 漢平,2012/3/30,2.85,34.3,-6.6666
2489 瑞軒,2012/3/30,22.5954,23.63,1.0872
2491 吉祥全,2012/3/30,2.1267,9.55,-22.9325
2492 華新科,2012/3/30,9.8449,42.11,-11.3301
2493 揚博,2012/3/30,79.1536,13.56,15.2673
2495 普安,2012/3/30,2.9546,40.21,-9.9478
2496 卓越,2012/3/30,3.4788,50.5,-8.6434
2497 怡利電,2012/3/30,56.805,9.62,30.2721
2498 宏達電,2012/3/30,17.0794,76.48,-9.6826
2501 國建,2012/3/30,10.21,69.72,9.1632
2504 國產,2012/3/30,4.8157,42.3,-5.1182
2505 國揚,2012/3/30,12.8509,38.18,-3.7038
2506 太設,2012/3/30,3.2905,30.55,-0.2135
2509 全坤建,2012/3/30,8.0085,48.16,2.5187
2511 太子,2012/3/30,12.3208,58.7,-7.7083
2514 龍邦,2012/3/30,9.1514,39.34,7.2203
2515 中工,2012/3/30,11.2147,30.72,-3.5592
2516 新建,2012/3/30,9.9682,9.9,2.0111
2520 冠德,2012/3/30,21.0739,44.02,-4
2524 京城,2012/3/30,6.6394,34.28,2.5592
2527 宏璟,2012/3/30,6.0413,50.24,-3.4722
2528 皇普,2012/3/30,0.744,33.83,-6.2803
2530 華建,2012/3/30,4.4337,25.54,-7.2727
2534 宏盛,2012/3/30,3.9716,56.55,0.6873
2535 達欣工,2012/3/30,8.3808,42.35,7.4587
2536 宏普,2012/3/30,12.3368,77.69,7.1673
2537 聯上發,2012/3/30,3.5059,43.65,-6.745
2538 基泰,2012/3/30,21.3318,16.17,8.2784
2539 櫻花建,2012/3/30,0.4856,23.8,7.0269
2540 愛山林,2012/3/30,0.0429,2.96,-7.3206
2542 興富發,2012/3/30,11.9761,53.91,-6.9089
2543 皇昌,2012/3/30,2.8528,22.88,-5.414
2545 皇翔,2012/3/30,9.876,60.5,0.7043
2546 根基,2012/3/30,3.5406,51.72,-10.6706
2547 日勝生,2012/3/30,16.1231,28.11,-11.6296
2548 華固,2012/3/30,10.1269,66.57,-2.7274
2597 潤弘,2012/3/30,2.3281,61.26,-0.0001
2601 益航,2012/3/30,33.918,66.61,-5.3935
2603 長榮,2012/3/30,7.1155,49.59,-1.4563
2605 新興,2012/3/30,5.1228,50.92,-2.1741
2606 裕民,2012/3/30,3.0418,63.99,-0.5859
2607 榮運,2012/3/30,7.1755,53.26,-10.9198
2608 嘉里大榮,2012/3/30,1.7912,56.2,2.4615
2609 陽明,2012/3/30,8.9607,63.9,-7.8947
2610 華航,2012/3/30,4.9491,69.25,-14.6953
2611 志信,2012/3/30,26.4743,35.07,-4.7923
2612 中航,2012/3/30,1.9597,66.44,-8.3333
2613 中櫃,2012/3/30,11.2459,58.96,-6.4814
2614 東森,2012/3/30,2.7719,22.69,-10.1852
2615 萬海,2012/3/30,1.3459,67.76,-1.4576
2616 山隆,2012/3/30,2.8007,40.09,1.3057
2617 台航,2012/3/30,1.3834,77.78,-3.9707
2618 長榮航,2012/3/30,8.6821,60.47,-9.4764
2633 台灣高鐵,2012/3/30,0.7099,70.59,2.9564
2636 台驊投控,2012/3/30,10.5794,47.19,0.3913
2637 慧洋-KY,2012/3/30,5.7679,35.24,5.4503
2701 萬企,2012/3/30,0.8015,76.87,-6.1855
2702 華園,2012/3/30,3.0732,52.95,-8.7719
2704 國賓,2012/3/30,6.0778,76.19,-4.348
2705 六福,2012/3/30,17.8906,11.01,-7.6737
2706 第一店,2012/3/30,1.4389,76.84,-6.76
2707 晶華,2012/3/30,4.1345,83.67,-10.8859
2722 夏都,2012/3/30,39.0708,57.47,74.8344
2723 美食-KY,2012/3/30,3.2046,66.86,-4.6783
2727 王品,2012/3/30,40.0721,23.48,41.3236
2801 彰銀,2012/3/30,4.1169,62.07,-6.389
2809 京城銀,2012/3/30,9.0789,22.24,-8.8728
2812 台中銀,2012/3/30,4.5137,51.47,-6.4258
2816 旺旺保,2012/3/30,4.2792,66.39,-7.639
2820 華票,2012/3/30,34.409,40.74,13.7779
2832 台產,2012/3/30,3.629,53.64,-1.3393
2834 臺企銀,2012/3/30,4.5139,57.62,-6.761
2836 高雄銀,2012/3/30,3.8099,59.64,-5.9005
2838 聯邦銀,2012/3/30,0.8564,82.52,-4.6948
2841 台開,2012/3/30,10.2303,41.67,-2.7559
2845 遠東銀,2012/3/30,3.6035,68.26,-4.0654
2849 安泰銀,2012/3/30,0.8386,95.02,-6.536
2850 新產,2012/3/30,5.4415,57.14,10.6629
2851 中再保,2012/3/30,0.9292,84.91,-6.1068
2852 第一保,2012/3/30,2.0285,42.33,-9.8593
2855 統一證,2012/3/30,2.3133,66.77,-2.4462
2867 三商壽,2012/3/30,0.188,79.8,2.7934
2880 華南金,2012/3/30,2.9014,72.01,-3.1519
2881 富邦金,2012/3/30,4.6845,69.84,-3.9016
2882 國泰金,2012/3/30,4.6593,64.95,-2.8903
2883 開發金,2012/3/30,3.425,47.05,-9.6385
2884 玉山金,2012/3/30,8.3445,70.94,0.6211
2885 元大金,2012/3/30,4.8724,71.78,-11.5274
2886 兆豐金,2012/3/30,5.6686,82.39,-8.9519
2887 台新金,2012/3/30,7.6348,58.94,-1.6668
2888 新光金,2012/3/30,5.913,55.19,-5.6226
2889 國票金,2012/3/30,3.2012,65.35,-2.8709
2890 永豐金,2012/3/30,3.8531,63.18,-3.1818
2891 中信金,2012/3/30,5.5046,68.33,-7.2501
2892 第一金,2012/3/30,5.1129,60.45,-5.8357
2897 王道銀行,2012/3/30,0.1206,83.5,2.0833
2901 欣欣,2012/3/30,2.7381,58.97,-0.762
2903 遠百,2012/3/30,12.4057,75.09,-6.9051
2904 匯僑,2012/3/30,35.4028,55.5,7.661
2905 三商,2012/3/30,5.9312,64.56,-8.9706
2906 高林,2012/3/30,3.8593,46.97,3.0304
2908 特力,2012/3/30,7.8672,40.28,-1.9278
2910 統領,2012/3/30,0.1907,59.8,0.4081
2911 麗嬰房,2012/3/30,21.9689,26,-2.7934
2912 統一超,2012/3/30,6.5253,93.98,5.4662
2913 農林,2012/3/30,25.9655,15.95,-4.0879
2915 潤泰全,2012/3/30,19.6507,74.75,-4.4629
3002 歐格,2012/3/30,2.7794,19.73,-4.8247
3003 健和興,2012/3/30,8.1808,19.72,15.5508
3004 豐達科,2012/3/30,27.7669,67.6,55.0201
3005 神基,2012/3/30,171.4169,50.8,58.405
3006 晶豪科,2012/3/30,13.9933,13.67,-13.7499
3008 大立光,2012/3/30,27.7561,45.64,-11.9877
3010 華立,2012/3/30,7.2501,33.35,-1.2866
3011 今皓,2012/3/30,34.4157,0.74,0.0001
3013 晟銘電,2012/3/30,19.3248,12.38,-6.7999
3014 聯陽,2012/3/30,24.9983,23.13,-15.1147
3015 全漢,2012/3/30,8.796,25.49,0.5445
3016 嘉晶,2012/3/30,30.326,25.14,-12.2302
3017 奇鋐,2012/3/30,15.7849,42.17,-11.6997
